,prediction_id,truth_id,IoU,match
843,843,0,0.17651340483822642,False
1129,1129,1,0.19903467096040928,False
1478,1478,2,0.33998258000901815,False
764,764,3,0.36801379680973256,False
0,0,4,0.0,False
41,41,5,0.3383173590744183,False
1057,1057,6,0.3022258743755883,False
401,401,7,0.33318292850828973,False
1006,1006,8,0.3469210000427868,False
334,334,9,0.2503115918942187,False
108,108,10,0.0,False
84,84,11,0.3064006270457972,False
291,291,12,0.3117154765878211,False
59,59,13,0.0,False
3,3,14,0.0,False
4,4,15,0.0,False
121,121,16,0.2769419542605272,False
102,102,17,0.0,False
1521,1521,18,0.35385942007929827,False
60,60,19,0.0,False
72,72,20,0.0,False
8,8,21,0.0,False
1249,1249,22,0.37467468005169524,False
209,209,23,0.3467822315042611,False
87,87,24,0.15653075507393993,False
289,289,25,0.3467822315042611,False
1405,1405,26,0.34636592644271835,False
778,778,27,0.33318292837389524,False
89,89,28,0.33998258000901815,False
868,868,29,0.191860799372391,False
409,409,30,0.3307367700606451,False
9,9,31,0.0,False
240,240,32,0.36038153463462697,False
144,144,33,0.0,False
691,691,34,0.19483083358563064,False
106,106,35,0.0,False
1835,1835,36,0.3469210000427868,False
558,558,37,0.3331829282395007,False
12,12,38,0.0,False
65,65,39,0.3130615104056979,False
172,172,40,0.3130615104056979,False
196,196,41,0.36801379666985257,False
767,767,42,0.3609366083745754,False
501,501,43,0.3399825798718809,False
1080,1080,44,0.3399825798718809,False
228,228,45,0.36801379680973256,False
763,763,46,0.3609366083745754,False
628,628,47,0.33998258014341265,False
122,122,48,0.0,False
259,259,49,0.3469210000427868,False
1414,1414,50,0.35385942007929827,False
323,323,51,0.35385942007929827,False
83,83,52,0.0,False
15,15,53,0.0,False
775,775,54,0.35324492436498933,False
130,130,55,0.35385942007929827,False
16,16,56,0.0,False
330,330,57,0.35385942007929827,False
432,432,58,0.3677362600069556,False
17,17,59,0.0,False
133,133,60,0.3538594199394183,False
187,187,61,0.3397050432089839,False
88,88,62,0.3671811864151154,False
73,73,63,0.33304415997524944,False
55,55,64,0.0,False
1425,1425,65,0.4040935808498381,True
586,586,66,0.3535818831366413,False
942,942,67,0.3467822315042611,False
14,14,68,0.20648737932420552,False
103,103,69,0.3535818831366413,False
20,20,70,0.0,False
496,496,71,0.28169985194697506,False
1725,1725,72,0.36682173306155935,False
916,916,73,0.3535818831366413,False
615,615,74,0.31958362510913485,False
119,119,75,0.34678223164414107,False
21,21,76,0.0,False
1266,1266,77,0.35302680954480103,False
