,prediction_id,truth_id,IoU,match
1,1,0,0.0,False
3,3,1,0.45774063025411216,True
7,7,2,0.1298593567393349,False
2,2,3,0.14953115944004552,False
0,0,4,0.19409932407525013,False
5,5,5,0.15235667700618322,False
2,2,0,0.0,False
1,1,1,0.0,False
7,7,2,0.5863491052196679,True
3,3,3,0.0858602203366025,False
8,8,4,0.6700886716274894,True
4,4,5,0.0,False
0,0,6,0.20220708207948757,False
7,7,0,0.39279002166765753,True
5,5,1,0.4325896894562674,True
3,3,2,0.0,False
2,2,3,0.0,False
17,17,4,0.0,False
14,14,5,0.7148337186179383,True
15,15,6,0.5245804792051562,True
0,0,7,0.1005965364138707,False
1,1,8,0.6363059231984093,True
6,6,9,0.0,False
9,9,10,0.7108758464517941,True
11,11,11,0.3706909563600697,True
4,4,12,0.611163004710833,True
18,18,13,0.0,False
12,12,14,0.23586822256614215,False
13,13,15,0.683297991144934,True
10,10,16,0.47656557640101865,True
8,8,17,0.8288418981878803,True
16,16,18,0.18512754909175466,False
6,6,0,0.0,False
19,19,1,0.22487410748487377,False
7,7,2,0.0,False
18,18,3,0.47823168550440126,True
23,23,4,0.663525613123685,True
4,4,5,0.7209570796454144,True
16,16,6,0.5257799799608335,True
1,1,7,0.7968321636184728,True
8,8,8,0.4811694446016841,True
5,5,9,0.3490007183957958,True
30,30,10,0.3720182974365928,True
0,0,11,0.7053466748416858,True
3,3,12,0.7426685309844671,True
25,25,13,0.550606822396425,True
15,15,14,0.4236798186013727,True
10,10,15,0.0,False
2,2,16,0.4046672359386644,True
17,17,17,0.7682130127271124,True
29,29,18,0.32982181700249885,True
27,27,19,0.015457499436896364,False
22,22,20,0.08370574013494503,False
9,9,21,0.4572828003528239,True
11,11,22,0.0,False
12,12,23,0.0,False
13,13,24,0.0,False
1,1,0,0.0,False
2,2,1,0.40322043259776114,True
0,0,0,0.0,False
17,17,1,0.0,False
21,21,2,0.011455282059096262,False
8,8,3,0.0,False
4,4,4,0.0,False
25,25,5,0.14539206550089673,False
34,34,6,0.4923745720944243,True
15,15,7,0.0,False
7,7,8,0.0,False
2,2,9,0.618795001037297,True
36,36,10,0.5541523826311452,True
32,32,11,0.6430579888083384,True
19,19,12,0.6436249152327259,True
6,6,13,0.36551324484937625,True
9,9,14,0.05866381949545331,False
22,22,15,0.5007511108214691,True
20,20,16,0.6779077759180161,True
18,18,17,0.3019185565928012,True
3,3,18,0.13570612167897764,False
24,24,19,0.014615919249403983,False
11,11,20,0.338935533495623,True
10,10,21,0.0,False
13,13,22,0.0,False
12,12,23,0.2628029696569489,True
16,16,24,0.6660301075946932,True
30,30,25,0.606338513700953,True
23,23,26,0.3612254728657266,True
26,26,27,0.0,False
33,33,28,0.47198033703132475,True
5,5,29,0.32231714154789165,True
1,1,30,0.44782441797080075,True
14,14,31,0.637866288288539,True
27,27,32,0.0,False
17,17,0,0.398399144557096,True
23,23,1,0.0,False
22,22,2,0.0,False
25,25,3,0.2788000160931088,True
116,116,4,0.051723799334080126,False
129,129,5,0.6519970243077423,True
27,27,6,0.0,False
84,84,7,0.6922624429625028,True
89,89,8,0.7224375638584724,True
66,66,9,0.0,False
29,29,10,0.0,False
93,93,11,0.6334013861359218,True
31,31,12,0.6806778386594313,True
65,65,13,0.07941251038175186,False
69,69,14,0.0,False
64,64,15,0.0,False
49,49,16,0.4068205924794416,True
90,90,17,0.0,False
71,71,18,0.12611382717997646,False
109,109,19,0.48391550532208,True
138,138,20,0.6877698167526204,True
58,58,21,0.7098368197940543,True
55,55,22,0.0,False
113,113,23,0.0,False
123,123,24,0.4048884322174691,True
120,120,25,0.0,False
3,3,26,0.6483313248055486,True
8,8,27,0.6772822604013716,True
32,32,28,0.0,False
82,82,29,0.368088825226144,True
70,70,30,0.4044980035149974,True
108,108,31,0.6986057130068907,True
5,5,32,0.6334583251523593,True
141,141,33,0.34001385298595005,True
51,51,34,0.0,False
131,131,35,0.0,False
140,140,36,0.623721242280959,True
94,94,37,0.0,False
135,135,38,0.0,False
24,24,39,0.6055913751095601,True
104,104,40,0.7236977206756848,True
9,9,41,0.39290915192180353,True
74,74,42,0.0,False
43,43,43,0.38507039253360303,True
6,6,44,0.5706549915844887,True
1,1,45,0.0,False
0,,46,0.0,False
72,72,47,0.48510989671929494,True
36,36,48,0.6766727213615006,True
0,,49,0.0,False
37,37,50,0.010056017678153995,False
0,,51,0.0,False
0,,52,0.0,False
45,45,53,0.6554188301697106,True
0,,54,0.0,False
0,,55,0.0,False
126,126,56,0.02902394661419255,False
112,112,57,0.4532899514770215,True
0,,58,0.0,False
10,10,59,0.44660584420033794,True
127,127,60,0.37570859749875235,True
7,7,61,0.5540842933986836,True
102,102,62,0.6710782502315202,True
130,130,63,0.5099963606714636,True
0,,64,0.0,False
107,107,65,0.6190726438828467,True
0,,66,0.0,False
96,96,67,0.528926856203828,True
117,117,68,0.4266778559085108,True
0,,69,0.0,False
0,,70,0.0,False
0,,71,0.0,False
73,73,72,0.32827100749245214,True
145,145,73,0.6318543449276023,True
88,88,74,0.47974143536323194,True
0,,75,0.0,False
39,39,76,0.6872778100343678,True
115,115,77,0.4353633884299867,True
0,,78,0.0,False
0,,79,0.0,False
61,61,80,0.6895894112553824,True
42,42,81,0.5058549838825829,True
0,,82,0.0,False
28,28,83,0.693813953444254,True
0,,84,0.0,False
0,,85,0.0,False
35,35,86,0.7518313187811687,True
59,59,87,0.5772871834431296,True
122,122,88,0.46542854895493885,True
0,,89,0.0,False
50,50,90,0.3612459445203117,True
0,,91,0.0,False
20,20,92,0.5782779161125041,True
0,,93,0.0,False
11,11,94,0.5621160989293409,True
0,,95,0.0,False
0,0,96,0.015208074897025208,False
142,142,97,0.6061108283724743,True
60,60,98,0.6703140078218809,True
133,133,99,0.11805534659429212,False
16,16,100,0.6950696474395865,True
62,62,101,0.6350058143268219,True
103,103,102,0.495243564735481,True
0,,103,0.0,False
77,77,104,0.19051459944255944,False
95,95,105,0.6715631361799149,True
136,136,106,0.3885315402608784,True
0,,107,0.0,False
0,,108,0.0,False
41,41,109,0.6756938198600823,True
18,18,110,0.32780709877192676,True
4,4,111,0.6604441990074512,True
76,76,112,0.6495384349475513,True
134,134,113,0.29207955341053127,True
92,92,114,0.5445764573287369,True
97,97,115,0.4391205823280351,True
33,33,116,0.2366438940480493,False
53,53,117,0.6648862927181513,True
54,54,118,0.45984882048653336,True
132,132,119,0.5469448905599369,True
40,40,120,0.47761678068814245,True
