,test_set,Recall,Precision,Model,Iteration
0,seabirdwatch,0,0,FZero Shot,
0,seabirdwatch,0,0,Fine Tune,
0,seabirdwatch,0,0,Min Annotation,0.0
0,seabirdwatch,0,0,Min Annotation,1.0
0,seabirdwatch,0,0,Min Annotation,2.0
0,seabirdwatch,0,0,Min Annotation,3.0
0,seabirdwatch,0,0,Min Annotation,4.0
0,neill,0,0,FZero Shot,
0,neill,0,0,Fine Tune,
0,neill,0,0,Min Annotation,0.0
0,neill,0,0,Min Annotation,1.0
0,neill,0,0,Min Annotation,2.0
0,neill,0,0,Min Annotation,3.0
0,neill,0,0,Min Annotation,4.0
0,USGS,0,0,FZero Shot,
0,USGS,0,0,Fine Tune,
0,USGS,0,0,Min Annotation,0.0
0,USGS,0,0,Min Annotation,1.0
0,USGS,0,0,Min Annotation,2.0
0,USGS,0,0,Min Annotation,3.0
0,USGS,0,0,Min Annotation,4.0
0,hayes,0,0,FZero Shot,
0,hayes,0,0,Fine Tune,
0,hayes,0,0,Min Annotation,0.0
0,hayes,0,0,Min Annotation,1.0
0,hayes,0,0,Min Annotation,2.0
0,hayes,0,0,Min Annotation,3.0
0,hayes,0,0,Min Annotation,4.0
0,terns,0,0,FZero Shot,
0,terns,0,0,Fine Tune,
0,terns,0,0,Min Annotation,0.0
0,terns,0,0,Min Annotation,1.0
0,terns,0,0,Min Annotation,2.0
0,terns,0,0,Min Annotation,3.0
0,terns,0,0,Min Annotation,4.0
0,penguins,0,0,FZero Shot,
0,penguins,0,0,Fine Tune,
0,penguins,0,0,Min Annotation,0.0
0,penguins,0,0,Min Annotation,1.0
0,penguins,0,0,Min Annotation,2.0
0,penguins,0,0,Min Annotation,3.0
0,penguins,0,0,Min Annotation,4.0
0,pfeifer,0,0,FZero Shot,
0,pfeifer,0,0,Fine Tune,
0,pfeifer,0,0,Min Annotation,0.0
0,pfeifer,0,0,Min Annotation,1.0
0,pfeifer,0,0,Min Annotation,2.0
0,pfeifer,0,0,Min Annotation,3.0
0,pfeifer,0,0,Min Annotation,4.0
0,palmyra,0,0,FZero Shot,
0,palmyra,0,0,Fine Tune,
0,palmyra,0,0,Min Annotation,0.0
0,palmyra,0,0,Min Annotation,1.0
0,palmyra,0,0,Min Annotation,2.0
0,palmyra,0,0,Min Annotation,3.0
0,palmyra,0,0,Min Annotation,4.0
0,mckellar,0,0,FZero Shot,
0,mckellar,0,0,Fine Tune,
0,mckellar,0,0,Min Annotation,0.0
0,mckellar,0,0,Min Annotation,1.0
0,mckellar,0,0,Min Annotation,2.0
0,mckellar,0,0,Min Annotation,3.0
0,mckellar,0,0,Min Annotation,4.0
0,monash,0,0,FZero Shot,
0,monash,0,0,Fine Tune,
0,monash,0,0,Min Annotation,0.0
0,monash,0,0,Min Annotation,1.0
0,monash,0,0,Min Annotation,2.0
0,monash,0,0,Min Annotation,3.0
0,monash,0,0,Min Annotation,4.0
