,proportion,pretrained,annotations,precision,recall
0,0.25,True,316,0.4406328665336762,0.7576229326229327
0,0.5,True,748,0.35681451108666296,0.7154656876175864
0,0.75,True,1247,0.5681896956090505,0.7601706000093097
0,1.0,True,1562,0.5882149749891685,0.752149839407904
0,0.25,True,421,0.6880748132586367,0.699703707240472
0,0.5,True,771,0.4721125889498935,0.7806003068661297
0,0.75,True,1224,0.5606901220409423,0.7235178782256705
0,1.0,True,1562,0.5304913187171252,0.7479202159847321
0,0.25,True,446,0.5574270098242701,0.6050188776216172
0,0.5,True,817,0.3815926097326732,0.8141092205965625
0,0.75,True,1075,0.5529469676903174,0.8402075808126763
0,1.0,True,1562,0.5325978161965422,0.7188012977821895
0,0.25,True,463,0.4855577418077418,0.6928154615654616
0,0.5,True,770,0.5304633275221511,0.7985338916711466
0,0.75,True,1075,0.44299221655909565,0.7989126938171524
0,1.0,True,1562,0.5929028850597478,0.6880424223561479
0,0.25,True,379,0.39777181111427357,0.8219650719650721
0,0.5,True,682,0.3963016261170433,0.8110501488666046
0,0.75,True,1263,0.6189259259259259,0.6896257816257817
0,1.0,True,1562,0.5230285934248092,0.7696834128362791
