,proportion,pretrained,annotations,precision,recall,iteration
0,0.0,True,0,0.05208333333333333,0.0026664578498930913,
0,0.0,False,0,0.0,0.0,
0,0.5,True,421,0.37249633158143036,0.6763842922307974,0
0,0.5,False,457,0.0,0.0,0
0,1.0,True,886,0.3830929158275048,0.75414379644528,0
0,1.0,False,886,0.1549239537728349,0.3770852104620142,0
0,0.5,True,362,0.37690384767203267,0.6990058778480949,1
0,0.5,False,359,0.0,0.0,1
0,1.0,True,886,0.34581390424342623,0.7783373550176598,1
0,1.0,False,886,0.0,0.0,1
0,0.5,True,354,0.36061488178565676,0.6078341339293049,2
0,0.5,False,394,0.0,0.0,2
0,1.0,True,886,0.4135547668629269,0.6265829108879233,2
0,1.0,False,886,0.2343382565220956,0.32522247671975724,2
0,0.5,True,458,0.37358636568096343,0.6228546497209617,3
0,0.5,False,383,0.0,0.0,3
0,1.0,True,886,0.41390326369620817,0.5480986222582767,3
0,1.0,False,886,0.0,0.0,3
0,0.5,True,528,0.3726033844421033,0.7130444900209745,4
0,0.5,False,401,0.0,0.0,4
0,1.0,True,886,0.3802991151828309,0.5779209245835347,4
0,1.0,False,886,0.0,0.0,4
0,0.5,True,442,0.3573831042734851,0.7302025964722865,5
0,0.5,False,319,0.0,0.0,5
0,1.0,True,886,0.3527350675221965,0.4877795475966264,5
0,1.0,False,886,0.1432011665362497,0.6007212293677221,5
0,0.5,True,482,0.38637050928475697,0.5657773597372944,6
0,0.5,False,441,0.0,0.0,6
0,1.0,True,886,0.3945500839008414,0.5547919645405315,6
0,1.0,False,886,0.1799391005525116,0.4639267444612349,6
0,0.5,True,385,0.3039903631409041,0.30529917113017263,7
0,0.5,False,347,0.0,0.0,7
0,1.0,True,886,0.3938539040560495,0.5506243248391246,7
0,1.0,False,886,0.17037655997122914,0.4148581326683925,7
0,0.5,True,463,0.3431430049740827,0.6305245814761077,8
0,0.5,False,376,0.0,0.0,8
0,1.0,True,886,0.3818012059399737,0.5410745329561394,8
0,1.0,False,886,0.2086403597243256,0.43658428787075554,8
0,0.5,True,392,0.33426858244435076,0.4097738003746417,9
0,0.5,False,416,0.0,0.0,9
0,1.0,True,886,0.4006339163569282,0.5560756004525625,9
0,1.0,False,886,0.2150523934419358,0.3762086675497184,9
