,test_set,Recall,Precision,Model,Annotations,Iteration
0,michigan,0.4801541873836005,0.5087692970710274,Zero Shot,,
0,michigan,0.8021469266336224,0.744611562172262,Fine Tune,40232.0,
0,michigan,0.7644953983441014,0.6922870055973335,Min Annotation,1000.0,0.0
0,michigan,0.7733300007004449,0.6613432852961599,Min Annotation,1000.0,1.0
0,michigan,0.7895350444836734,0.6827514505145114,Min Annotation,1000.0,2.0
0,michigan,0.8089032310627945,0.7040663625515735,Min Annotation,5000.0,0.0
0,michigan,0.8030210310812466,0.7172481035984708,Min Annotation,5000.0,1.0
0,michigan,0.7957582379153162,0.7450308875009493,Min Annotation,5000.0,2.0
0,michigan,0.7947054138859647,0.7834037930363423,Min Annotation,10000.0,0.0
0,michigan,0.8001828036130606,0.7599952896946959,Min Annotation,10000.0,1.0
0,michigan,0.826738420209743,0.734148368290711,Min Annotation,10000.0,2.0
0,michigan,0.8473342982756605,0.6982664847941566,Min Annotation,20000.0,0.0
0,michigan,0.8444264226380425,0.7499425258383071,Min Annotation,20000.0,1.0
0,michigan,0.8613583421274432,0.6972880218387951,Min Annotation,20000.0,2.0
0,michigan,0.0,0.0,RandomWeight,1000.0,0.0
0,michigan,0.0,0.0,RandomWeight,1000.0,1.0
0,michigan,0.0,0.0,RandomWeight,1000.0,2.0
0,michigan,0.6670735653018779,0.7784799410187474,RandomWeight,5000.0,0.0
0,michigan,0.658554752638672,0.7614012584438988,RandomWeight,5000.0,1.0
0,michigan,0.8009277941170886,0.7189498001937594,RandomWeight,5000.0,2.0
0,michigan,0.8106123833676128,0.7058088005225382,RandomWeight,10000.0,0.0
0,michigan,0.8044995362677458,0.7531314592657276,RandomWeight,10000.0,1.0
0,michigan,0.8461625149692322,0.6482458262066559,RandomWeight,10000.0,2.0
0,michigan,0.8400867241123356,0.7704973423604393,RandomWeight,20000.0,0.0
0,michigan,0.8451042003678432,0.7082050274375382,RandomWeight,20000.0,1.0
0,michigan,0.8389636300887331,0.7359715139369467,RandomWeight,20000.0,2.0
