,Colony,predicted,Sort,Count_type,Height_m,Counter,Count,percent_Input,Notes,difference
0,6,843,5,Retreived_skewers,,AA,863,,This is the true number of individuals for the colony,20
1,7,581,7,Retreived_skewers,,AA,839,,This is the true number of individuals for the colony,258
2,5,219,10,Retreived_skewers,,AA,1017,,This is the true number of individuals for the colony,798
3,4,450,4,Retreived_skewers,,AA,504,,This is the true number of individuals for the colony,54
4,1,614,1,Retreived_skewers,,AA,636,,This is the true number of individuals for the colony,22
5,3,505,3,Retreived_skewers,,AA,547,,This is the true number of individuals for the colony,42
6,2,429,2,Retreived_skewers,,AA,463,,This is the true number of individuals for the colony,34
7,9,88,9,Retreived_skewers,,AA,977,,This is the true number of individuals for the colony,889
8,8,425,8,Retreived_skewers,,AA,843,,This is the true number of individuals for the colony,418
