,prediction_id,truth_id,IoU,match
371,371,0,0.0,False
370,370,1,0.006538044696686843,False
566,566,2,0.5768689179030864,True
268,268,3,0.09008644913032994,False
656,656,4,0.6626500751170463,True
4,4,5,0.0,False
688,688,6,0.11347089908980063,False
245,245,7,0.16671505118732605,False
33,33,8,0.3099840558309208,True
545,545,9,0.1557951081790591,False
479,479,10,0.0,False
50,50,11,0.6999184609799631,True
3,3,12,0.0,False
811,811,13,0.5732206840100366,True
414,414,14,0.7362882809549504,True
534,534,15,0.3330894019956199,True
678,678,16,0.5553419874354856,True
140,140,17,0.6064334018562842,True
303,303,18,0.20331214715420243,False
8,8,19,0.7001585702264397,True
400,400,20,0.0,False
821,821,21,0.6455822258437564,True
655,655,22,0.6508170381252851,True
461,461,23,0.0,False
135,135,24,0.0,False
465,465,25,0.6876557383569256,True
37,37,26,0.663080646963761,True
409,409,27,0.6626500751170463,True
6,6,28,0.0,False
488,488,29,0.6803871623802138,True
331,331,30,0.4738298728496208,True
47,47,31,0.5539390027166619,True
169,169,32,0.0,False
393,393,33,0.0,False
49,49,34,0.6637734747875204,True
803,803,35,0.4639618020029238,True
401,401,36,0.28234636796665025,True
670,670,37,0.5631724711016627,True
212,212,38,0.2522100837232274,True
749,749,39,0.22208406691276053,False
683,683,40,0.36632752589242745,True
630,630,41,0.6367671314737624,True
528,528,42,0.10750726947137025,False
117,117,43,0.0,False
260,260,44,0.39023924504838947,True
575,575,45,0.15400577983820737,False
584,584,46,0.5209675827727396,True
280,280,47,0.2250403595925305,False
649,649,48,0.69667416152504,True
395,395,49,0.5292886537628986,True
457,457,50,0.19273283456304077,False
220,220,51,0.0,False
126,126,52,0.4861099107285716,True
244,244,53,0.7001585698916813,True
758,758,54,0.7268384018209185,True
142,142,55,0.5829085289503148,True
11,11,56,0.0,False
739,739,57,0.08546951288793188,False
492,492,58,0.12973027080367988,False
0,0,59,0.0,False
383,383,60,0.4624471668972182,True
293,293,61,0.7001585698916813,True
202,202,62,0.4679252670413744,True
516,516,63,0.6749213727356776,True
26,26,64,0.673778597166106,True
44,44,65,0.13738649888810622,False
203,203,66,0.0,False
92,92,67,0.3621559380264537,True
15,15,68,0.0,False
343,343,69,0.6358229309581969,True
312,312,70,0.35125584846471053,True
143,143,71,0.6045413963996843,True
469,469,72,0.0,False
171,171,73,0.5112027188452682,True
408,408,74,0.7422897706564913,True
473,473,75,0.2232972687457974,False
553,553,76,0.41468347646887654,True
305,305,77,0.4195898593816064,True
738,738,78,0.34060858423167223,True
133,133,79,0.42509174969152785,True
