,proportion,pretrained,annotations,precision,recall,iteration
0,0,True,1457,0.6986904761904762,0.4042699892699892,0
0,0,False,1457,0.0,0.0,0
0,1,True,1457,0.5366421568627451,0.38383042610983786,0
0,1,False,1457,0.6206465919701214,0.49704621359033124,0
0,0,True,1457,0.6986904761904762,0.4042699892699892,1
0,0,False,1457,0.0,0.0,1
0,1,True,1457,0.6434908789386402,0.4992922500385188,1
0,1,False,1457,0.6172247023809523,0.47138161317848815,1
0,0,True,1457,0.6986904761904762,0.4042699892699892,2
0,0,False,1457,0.0,0.0,2
0,1,True,1457,0.6342237070497939,0.5176876666007101,2
0,1,False,1457,0.6119642094994208,0.5313195020941499,2
0,0,True,1457,0.6986904761904762,0.4042699892699892,3
0,0,False,1457,0.0,0.0,3
0,1,True,1457,0.6459116753892873,0.535277160650295,3
0,1,False,1457,0.6572609208972846,0.5175550039186402,3
0,0,True,1457,0.6986904761904762,0.4042699892699892,4
0,0,False,1457,0.0,0.0,4
0,1,True,1457,0.7354283380018674,0.5207013166571991,4
0,1,False,1457,0.6019365735274826,0.4104466661284843,4
